state,hospitals,er_hospitals,er_pct
LA,160,98,0.6125
AZ,106,73,0.6886792452830188
DE,13,9,0.6923076923076923
DC,10,7,0.7
OH,194,137,0.7061855670103093
MA,83,60,0.7228915662650602
GA,149,108,0.7248322147651006
NJ,78,57,0.7307692307692307
CT,37,28,0.7567567567567568
CA,378,288,0.7619047619047619
MD,56,43,0.7678571428571429
PA,187,148,0.7914438502673797
IN,149,118,0.7919463087248322
MI,147,118,0.8027210884353742
TN,123,100,0.8130081300813008
NY,191,157,0.8219895287958116
NV,45,37,0.8222222222222222
WY,30,25,0.8333333333333334
SC,66,55,0.8333333333333334
TX,462,385,0.8333333333333334
ID,48,40,0.8333333333333334
FL,221,186,0.8416289592760181
KS,139,117,0.841726618705036
NM,45,38,0.8444444444444444
MS,106,90,0.8490566037735849
SD,62,53,0.8548387096774194
MN,136,117,0.8602941176470589
VA,95,83,0.8736842105263158
HI,24,21,0.875
NC,120,105,0.875
MO,121,106,0.8760330578512396
VT,17,15,0.8823529411764706
WI,142,126,0.8873239436619719
WV,55,49,0.8909090909090909
ME,38,34,0.8947368421052632
OK,135,121,0.8962962962962963
WA,100,90,0.9
AR,90,81,0.9
IL,194,175,0.9020618556701031
NE,93,84,0.9032258064516129
AL,102,93,0.9117647058823529
KY,103,94,0.912621359223301
PR,60,55,0.9166666666666666
CO,98,90,0.9183673469387755
RI,13,12,0.9230769230769231
NH,28,26,0.9285714285714286
OR,62,58,0.9354838709677419
UT,51,48,0.9411764705882353
IA,118,112,0.9491525423728814
MT,63,60,0.9523809523809523
ND,47,45,0.9574468085106383
AK,25,24,0.96
GU,2,2,1.0
VI,2,2,1.0
AS,1,1,1.0
MP,1,1,1.0
